Percent,Real_Goal,Time,Cost,Prob,Results
10,0,395443482,46/46/46/46/46/46/46/46/46/46/,0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/,0/1/2/3/4/5/6/7/8/9/
10,0,168742427,16/16/46/46/16/46/46/16/46/46/,0.19890906898245497/0.19890906898245497/0.03406062067836337/0.03406062067836337/0.19890906898245497/0.03406062067836337/0.03406062067836337/0.19890906898245497/0.03406062067836337/0.03406062067836337/,0/1/4/7/
10,0,144111359,46/46/46/46/46/46/46/46/46/46/,0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/,0/1/2/3/4/5/6/7/8/9/
10,1,167328435,46/46/46/46/46/46/46/16/46/46/,0.06738610543106364/0.06738610543106364/0.06738610543106364/0.06738610543106364/0.06738610543106364/0.06738610543106364/0.06738610543106364/0.3935250511204271/0.06738610543106364/0.06738610543106364/,7/
10,1,124905706,19/46/46/46/46/46/15/16/19/46/,0.17856683476255056/0.03303154307139289/0.03303154307139289/0.03303154307139289/0.03303154307139289/0.03303154307139289/0.22928435441259506/0.2153927176339464/0.17856683476255056/0.03303154307139289/,6/7/
10,1,130639502,16/46/46/46/46/46/46/16/16/46/,0.23817122602303545/0.04078376027584197/0.04078376027584197/0.04078376027584197/0.04078376027584197/0.04078376027584197/0.04078376027584197/0.23817122602303545/0.23817122602303545/0.04078376027584197/,0/7/8/
10,2,85940819,18/18/18/18/15/18/18/18/18/18/,0.09797936902870988/0.09797936902870988/0.09797936902870988/0.09797936902870988/0.11818567874161102/0.09797936902870988/0.09797936902870988/0.09797936902870988/0.09797936902870988/0.09797936902870988/,4/
10,2,89829041,18/18/18/18/18/18/18/18/18/18/,0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/,0/1/2/3/4/5/6/7/8/9/
10,2,75372906,18/18/18/18/18/18/18/18/18/18/,0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/,0/1/2/3/4/5/6/7/8/9/
10,3,122107391,15/46/19/19/15/19/46/46/19/19/,0.15807290432358262/0.022772561001649247/0.1231073016695774/0.1231073016695774/0.15807290432358262/0.1231073016695774/0.022772561001649247/0.022772561001649247/0.1231073016695774/0.1231073016695774/,0/4/
10,3,99013575,46/46/19/19/46/19/46/46/19/19/,0.04117407436018945/0.04117407436018945/0.15882592563981052/0.15882592563981052/0.04117407436018945/0.15882592563981052/0.04117407436018945/0.04117407436018945/0.15882592563981052/0.15882592563981052/,2/3/5/8/9/
10,2,75847642,18/18/18/18/18/18/18/18/18/18/,0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/0.1/,0/1/2/3/4/5/6/7/8/9/
10,0,20315655,18/18/18/18/18/18/18/18/,0.125/0.125/0.125/0.125/0.125/0.125/0.125/0.125/,0/1/2/3/4/5/6/7/
10,0,17312472,18/18/18/18/18/18/18/18/,0.125/0.125/0.125/0.125/0.125/0.125/0.125/0.125/,0/1/2/3/4/5/6/7/
10,0,18036761,18/18/18/18/18/18/18/18/,0.125/0.125/0.125/0.125/0.125/0.125/0.125/0.125/,0/1/2/3/4/5/6/7/
10,1,17099672,18/18/18/18/18/18/18/18/,0.125/0.125/0.125/0.125/0.125/0.125/0.125/0.125/,0/1/2/3/4/5/6/7/
10,1,31942286,15/18/15/15/18/18/18/15/,0.13668453799615346/0.11331546200384654/0.13668453799615346/0.13668453799615346/0.11331546200384654/0.11331546200384654/0.11331546200384654/0.13668453799615346/,0/2/3/7/
10,1,19370048,15/15/18/15/15/18/18/15/,0.13356328738350598/0.13356328738350598/0.11072785436082336/0.13356328738350598/0.13356328738350598/0.11072785436082336/0.11072785436082336/0.13356328738350598/,0/1/3/4/7/
